ID;Тип крыши;Электр-во;Тип топлива;Источник тепла;Источник воды;Воды нет, мин;Мопед;Автомобиль;Число авто;Прочие авто;Велосипед;Повозки;ПК;Число ПК;Стир машина;Кух комбайн;Холодильник;Телевизор;Число телев;Стерео;Телефон;Газонокос;Снегоуборщ;Микроволновка;Посудомоеч;Ежемес доход;Деньги на пищу;Дача;Площадь дачи;Место для пригот пищи;Вытяжка;Готовка вне дома, месяц;Вопрос 10a/ месяц;Вопрос 10a/ 5 лет;Вопрос 10b/ месяц;Вопрос 10b/ 5 лет;Вопрос 10c/ месяц;Вопрос 10c/ 5 лет;Квартира;Др квартира;Холодная дача;Теплая дача;Машина;Гараж;Ферма;Лавка;Другое;Др уточнить;Часть дохода на еду;Вопрос 13;Достаток по срав с друг;Тип жилья;Число комнат;Площадь жилья
54-601-052-01;черепица;1;каменный уголь;уголь;скважина домохозяйства;;1;0;0;0;0;0;0;0;1;0;1;1;2;1;1;1;1;1;0;23000;9000;1;1500;внутри дома;окно;1;редко;редко;редко;редко;редко;редко;0;0;0;1;0;1;0;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;относительно высокий;собственный дом;2;37
54-503-004-01;шифер;1;каменный уголь;уголь;скважина домохозяйства;меньше 5 минут;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;11000;6000;1;600;внутри дома;окно, дымоход;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/2 (половина);Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;собственный дом;1;18
54-503-021-01;оцинкованные стальные листы;1;электричество;уголь;скважина домохозяйства;;0;0;0;0;0;0;0;0;1;1;1;1;3;1;1;1;0;1;0;28000;10000;1;1500;внутри дома;окно;1;часто;часто;часто;часто;никогда;никогда;1;0;0;0;0;1;1;0;0;;1/3;Нам  не  хватает  даже на самое необходимое (пищу, коммунальные счета, необходимую одежду, недорогое лечение);очень низкий;собственный дом;2;35
54-502-008-01;железобетон;1;электричество;камин (уголь);перекачиваемая вода;;0;0;0;0;1;0;1;1;1;1;1;1;2;1;1;1;0;1;0;18000;7000;1;1500;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/3;Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;собственный дом;2;40
54-503-006-01;шифер;1;каменный уголь;уголь;скважина района;;1;1;1;0;0;0;1;2;1;0;1;1;1;1;0;1;0;1;0;35000;25000;1;1100;внутри дома;окно;1;никогда;никогда;иногда;иногда;никогда;никогда;0;1;0;1;1;1;1;0;0;;2/3;Мы можем приобретать все самое необходимое, но не можем покупать дорогие товары длительного пользования;средний;собственный дом;3;
54-601-051-01;оцинкованные стальные листы;1;электричество;уголь;артезианский колодец;меньше 5 минут;0;1;1;1;1;0;1;1;1;1;1;1;4;0;1;0;0;1;1;19000;5000;1;1500;вне дома;окно;1;никогда;никогда;никогда;иногда;никогда;никогда;1;0;0;0;1;1;1;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;5;56
54-601-004-01;оцинкованные стальные листы;1;газ;уголь;перекачиваемая вода;;1;1;1;0;1;0;1;1;1;0;1;1;3;0;1;0;0;1;0;35000;15000;1;500;внутри дома;окно;1;никогда;никогда;никогда;редко;никогда;никогда;1;0;0;0;1;1;1;0;0;;1/2 (половина);Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;собственный дом;3;60
54-701-024-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-701-037-01;шифер;1;газ;уголь;перекачиваемая вода;;0;1;1;0;1;0;1;1;1;0;1;1;2;1;1;0;0;1;0;40000;20000;1;1500;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;1;1;1;0;0;;1/2 (половина);Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;85
54-701-020-01;шифер;1;каменный уголь;уголь;перекачиваемая вода;;0;0;0;0;1;0;1;1;1;1;1;1;3;1;1;0;0;1;0;20000;5000;1;800;внутри дома;окно, дымоход;1;никогда;никогда;никогда;никогда;иногда;иногда;1;0;0;0;0;0;1;0;0;;1/3;Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;собственный дом;3;52
54-701-035-01;железобетон;1;газ;уголь;скважина района;меньше 5 минут;0;1;1;0;1;0;1;1;1;0;1;1;2;1;1;1;0;1;0;30000;18000;1;1000;внутри и вне дома;окно;1;редко;редко;часто;часто;иногда;иногда;0;0;0;1;1;1;1;0;0;;2/3;Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;низкий;собственный дом;3;55
54-701-034-01;шифер;1;электричество;уголь;перекачиваемая вода;;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;15000;5000;1;320;внутри дома;окно;1;никогда;никогда;часто;часто;никогда;никогда;1;0;0;0;0;1;1;0;0;;1/3;Нам  не  хватает  даже на самое необходимое (пищу, коммунальные счета, необходимую одежду, недорогое лечение);низкий;собственный дом;3;45
54-701-029-01;шифер;1;электричество;уголь;скважина района;;0;1;1;0;1;0;1;2;1;0;1;1;2;0;1;0;0;0;1;35000;10000;1;1000;внутри дома;окно;1;редко;редко;редко;редко;редко;редко;0;0;0;1;1;1;1;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;90
54-601-030-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-601-030-04;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-601-033-01;оцинкованные стальные листы;1;электричество;уголь;перекачиваемая вода;;0;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;240000;12000;1;1000;внутри дома;окно, дымоход, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;1;1;0;0;0;;1/2 (половина);Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;36
54-601-033-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-601-043-01;оцинкованные стальные листы;1;электричество;уголь;перекачиваемая вода;;1;1;2;1;1;0;1;1;1;0;0;1;3;0;1;1;1;1;0;30000;15000;1;2300;внутри дома;окно;1;никогда;никогда;никогда;иногда;никогда;иногда;1;0;0;0;1;1;1;0;0;;1/2 (половина);Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;низкий;собственный дом;3;68
54-601-034-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-002-015-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;25000;15000;1;400;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;иногда;1;0;1;0;0;0;0;0;0;;1/2 (половина);Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;квартира;4;64
54-601-041-01;шифер;1;газ;уголь;перекачиваемая вода;;1;1;2;1;1;0;1;1;1;1;1;1;3;1;1;0;0;1;0;30000;10000;1;1000;внутри дома;окно, дымоход, вытяжка;6;никогда;никогда;никогда;никогда;никогда;никогда;1;1;1;1;1;1;0;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;64
54-002-103-01;шифер;1;газ;центральное отопление;перекачиваемая вода;;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0;55000;12000;0;;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/3;Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;квартира;2;44
54-002-172-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;;0;1;1;0;1;0;1;2;1;1;1;1;2;1;1;0;0;1;0;40000;20000;1;600;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;1;1;0;1;0;0;;1/2 (половина);Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;квартира;2;32
54-602-026-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-701-037-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-602-035-01;оцинкованные стальные листы;1;электричество;уголь;вода в бутылках / таре;5 - 30 минут;0;1;1;0;1;0;1;2;1;1;1;1;2;1;1;1;1;1;0;60000;30000;1;1500;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;1;0;0;1;1;1;0;0;;1/2 (половина);Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;собственный дом;5;100
54-602-057-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;15000;5000;1;100;внутри дома;окно;1;редко;редко;редко;редко;редко;редко;1;0;0;0;0;0;0;0;0;;1/3;Нам  не  хватает  даже на самое необходимое (пищу, коммунальные счета, необходимую одежду, недорогое лечение);средний;квартира;2;36
54-602-048-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;10000;5000;0;;внутри дома;окно, вытяжка;1;никогда;никогда;иногда;иногда;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/2 (половина);Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;квартира;3;57
54-103-001-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;0;0;1;1;1;0;1;1;3;1;1;0;0;0;0;24000;10000;0;;внутри дома;окно, вытяжка;1;никогда;никогда;иногда;иногда;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/3;Мы можем приобретать все самое необходимое, но не можем покупать дорогие товары длительного пользования;средний;квартира;2;32
54-602-058-01;шифер;1;электричество;уголь;перекачиваемая вода;;1;1;1;0;0;0;0;0;1;1;1;1;2;0;1;0;0;1;0;46000;12000;1;700;внутри дома;окно;1;никогда;никогда;никогда;никогда;никогда;никогда;0;0;0;0;1;1;1;0;0;;1/3;Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;низкий;собственный дом;2;39
54-602-049-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;15000;6000;1;1100;внутри дома;окно;1;никогда;никогда;никогда;иногда;никогда;иногда;1;0;0;0;0;0;1;0;0;;1/3;Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;квартира;2;41
54-103-002-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;0;0;1;1;1;1;1;1;2;0;1;0;0;1;0;20000;7000;0;;внутри дома;окно, дымоход;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;низкий;квартира;3;48
54-103-003-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;;0;1;2;0;0;0;1;1;1;0;1;1;1;0;1;0;0;1;0;23000;15000;1;500;внутри дома;окно;6;никогда;никогда;никогда;никогда;никогда;никогда;1;0;1;1;1;1;1;0;0;;2/3;Мы можем приобретать все самое необходимое, но не можем покупать дорогие товары длительного пользования;средний;квартира;3;43
54-701-032-01;прочие;1;каменный уголь;уголь;перекачиваемая вода;;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;12000;5000;1;3000;внутри дома;окно;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;0;1;0;0;0;;1/3;Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;собственный дом;2;32
54-602-051-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;30000;10000;1;200;внутри дома;окно;1;никогда;никогда;никогда;редко;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/3;Мы можем приобретать все самое необходимое, но не можем покупать дорогие товары длительного пользования;средний;собственный дом;2;37
54-602-059-01;шифер;1;газ;центральное отопление;перекачиваемая вода;;0;1;1;0;1;0;1;1;1;1;1;1;3;1;1;0;0;1;0;22000;15000;1;200;внутри дома;окно, вытяжка;1;никогда;никогда;все время;все время;никогда;никогда;1;0;0;0;1;1;0;0;0;;почти все;Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;низкий;квартира;2;31
54-602-060-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;1;0;1;2;1;1;1;1;2;1;1;0;0;1;0;28000;8000;1;1500;внутри дома;окно, частично открытая зона;1;никогда;редко;никогда;никогда;никогда;редко;1;0;0;0;0;0;1;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;квартира;3;42
54-701-033-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-602-053-01;железобетон;1;каменный уголь;камин (уголь);бак с водой;;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;0;1;0;50000;15000;1;12;внутри дома;окно, дымоход;1;никогда;никогда;никогда;никогда;никогда;редко;0;0;0;1;0;0;1;0;0;;1/3;Мы можем приобретать все самое необходимое, но не можем покупать дорогие товары длительного пользования;средний;собственный дом;4;76
54-602-039-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;12300;3000;1;300;внутри дома;окно;1;никогда;никогда;все время;иногда;никогда;никогда;0;0;0;0;0;0;0;0;0;;1/3;Нам  не  хватает  даже на самое необходимое (пищу, коммунальные счета, необходимую одежду, недорогое лечение);низкий;квартира;2;29
54-602-062-01;шифер;1;газ;уголь;перекачиваемая вода;;0;1;1;0;1;0;1;3;1;0;1;1;2;1;1;1;1;1;0;60000;20000;1;1000;внутри дома;окно;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;1;1;0;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;относительно высокий;собственный дом;3;66
54-602-054-01;оцинкованные стальные листы;1;электричество;уголь;перекачиваемая вода;;0;1;2;0;0;0;1;1;1;1;1;1;2;0;1;0;0;0;0;75000;33000;1;1700;внутри дома;окно, дымоход;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;1;1;0;0;0;;1/2 (половина);Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;низкий;квартира;4;70
54-602-002-01;оцинкованные стальные листы;1;газ;уголь;перекачиваемая вода;;0;1;2;0;1;0;1;2;1;1;1;1;4;1;1;1;1;1;0;50000;20000;1;1000;внутри дома;окно;10;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;1;1;1;0;0;;1/2 (половина);Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;собственный дом;3;42
54-602-038-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;22000;9000;1;1500;внутри дома;окно;2;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;0;0;1;0;0;;1/2 (половина);Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;квартира;3;63
54-602-055-01;шифер;1;электричество;уголь;скважина домохозяйства;;0;0;0;0;1;0;1;1;1;1;1;1;2;0;1;1;0;1;0;35000;20000;1;2000;внутри дома;окно, вытяжка;1;никогда;никогда;иногда;иногда;редко;редко;0;0;0;1;0;0;1;0;0;;2/3;Мы можем приобретать все самое необходимое, но не можем покупать дорогие товары длительного пользования;средний;собственный дом;5;120
54-601-012-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-103-004-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;;0;1;1;0;0;0;1;1;1;0;1;1;2;0;1;0;0;1;0;40000;15000;0;;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;1;0;0;0;0;;1/3;Время от времени мы может приобретать дорогие товары длительного пользования;средний;квартира;2;27
54-103-006-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-103-007-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;40000;20000;1;1000;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;1;0;1;1;0;0;0;;1/2 (половина);Мы можем приобретать товары длительного пользования, но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;квартира;2;36
54-701-033-01;шифер;1;газ;уголь;перекачиваемая вода;;1;1;2;0;1;0;1;3;1;0;1;1;3;0;1;1;0;1;0;40000;15000;1;800;внутри дома;окно;1;никогда;никогда;никогда;никогда;никогда;никогда;0;0;0;1;1;1;0;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;54
54-601-011-01;оцинкованные стальные листы;1;электричество;уголь;скважина домохозяйства;;0;1;1;1;0;0;1;1;1;1;1;1;2;1;1;0;1;1;1;20000;10000;1;100;внутри дома;окно;1;никогда;никогда;никогда;никогда;никогда;никогда;1;1;1;0;1;1;1;0;0;;1/2 (половина);Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;собственный дом;3;100
