ID;Кол-во чел в д/х
54-501-072-01;5
54-501-075-01;3
54-501-073-01;4
54-501-076-01;3
54-103-007-02;
54-103-010-01;2
54-501-055-01;2
54-103-009-01;2
54-103-008-01;3
54-501-080-01;3
54-501-079-01;2
54-501-051-01;2
54-501-056-01;2
54-501-077-01;4
54-501-052-01;4
54-501-053-01;3
54-501-003-01;3
54-501-042-01;2
54-501-044-01;2
54-501-041-01;2
54-501-047-01;3
54-501-045-01;2
54-102-037-01;3
54-501-045-02;
54-102-051-01;2
54-501-040-02;
54-501-009-01;4
54-102-072-01;2
54-501-050-01;2
54-102-126-01;1
54-102-033-02;
54-501-040-01;2
54-501-049-01;2
54-102-206-02;
54-501-039-03;
54-102-167-02;
54-501-009-02;
54-102-156-02;
54-601-023-01;3
54-102-054-02;
54-501-008-02;
54-102-203-01;2
54-501-007-01;2
54-501-005-02;
54-501-039-01;7
54-102-139-01;1
54-501-006-02;
54-102-162-01;1
54-501-006-01;4
54-102-181-01;4
54-101-076-01;4
54-101-012-01;3
54-701-001-01;4
54-501-005-01;4
54-504-011-01;2
54-501-004-01;3
54-504-014-01;2
54-501-003-02;
54-504-015-01;2
54-504-006-01;3
54-504-017-01;4
54-504-005-01;4
54-504-004-01;2
54-501-039-02;
54-504-001-01;2
54-501-038-02;
54-101-089-01;3
54-101-066-01;3
54-101-040-01;1
54-101-036-01;1
54-101-030-01;2
54-101-073-01;2
54-101-014-01;4
54-101-020-01;2
54-504-008-01;1
54-504-033-01;2
54-504-012-01;4
54-504-010-01;5
54-501-062-01;2
54-504-013-01;5
54-504-029-01;3
54-504-027-01;2
54-501-061-01;5
54-501-059-02;
54-501-059-01;2
54-504-019-01;3
54-101-005-01;2
54-002-192-01;1
54-002-191-01;4
54-002-190-02;
54-102-168-01;4
54-102-191-01;2
54-102-227-02;
54-102-202-01;2
54-002-187-01;1
54-102-197-02;
54-002-184-01;3
54-002-175-01;5
54-002-165-01;2
54-002-163-02;
54-002-152-01;4
54-002-136-02;
54-101-011-01;3
54-101-077-01;1
54-002-126-01;2
54-002-121-02;
54-002-111-01;8
54-002-102-02;
54-102-318-01;4
54-002-104-01;3
54-002-084-01;2
54-002-080-01;3
54-002-077-01;1
54-002-074-02;
54-002-064-01;3
54-002-063-01;2
54-002-047-01;2
54-002-043-01;2
54-002-042-01;2
54-002-037-01;4
54-002-034-02;
54-002-028-01;3
54-002-022-02;
54-002-019-01;2
54-002-005-02;
54-002-009-02;
54-101-082-01;4
54-101-090-01;3
54-102-297-01;3
54-102-288-01;4
54-504-031-01;3
54-504-016-01;2
54-504-018-01;2
54-504-020-01;2
54-504-021-01;3
54-103-014-01;1
54-103-013-01;1
54-102-258-01;4
54-102-238-01;4
54-102-360-01;3
54-102-360-02;
54-102-281-02;
54-103-012-01;4
54-103-011-01;1
54-103-015-01;1
54-102-160-01;2
54-102-172-01;1
54-102-171-01;4
54-102-170-01;2
54-102-169-01;2
54-101-015-01;1
54-102-351-01;2
54-102-329-01;1
54-102-352-02;
54-102-342-02;
54-101-006-01;3
54-101-091-01;2
54-101-057-01;1
54-102-181-02;
54-102-184-02;
54-102-188-02;
54-102-189-02;
54-102-030-01;1
54-102-029-01;1
54-102-028-01;3
54-102-027-01;2
54-103-016-01;1
54-702-032-01;3
54-702-032-02;
54-101-063-01;2
54-102-195-01;1
54-702-033-02;
54-504-003-02;
54-504-001-02;
54-504-012-02;
54-101-059-01;3
54-504-005-02;
54-702-035-02;
54-102-166-01;5
54-102-167-01;2
54-702-031-02;
54-702-034-01;1
54-102-159-01;3
54-102-158-01;7
54-102-157-01;3
54-102-200-01;1
54-102-198-01;2
54-102-199-01;2
54-102-197-01;4
54-102-196-01;5
54-602-061-01;7
54-602-045-01;3
54-102-156-01;4
54-102-155-01;2
54-102-154-01;3
54-102-153-01;2
54-102-152-01;3
54-102-193-01;2
54-102-192-01;2
54-102-194-01;4
54-102-011-01;5
54-702-030-01;3
54-702-029-01;2
54-702-028-01;1
54-702-026-02;
54-102-190-01;3
54-602-043-01;3
54-602-050-01;2
54-102-189-01;2
54-102-188-01;2
54-102-187-01;1
54-602-052-01;2
54-102-186-01;2
54-102-185-01;4
54-102-016-01;3
54-102-183-01;2
54-602-046-01;1
54-102-059-02;
54-102-059-01;4
54-102-058-01;4
54-102-057-02;
54-102-057-01;3
54-102-184-01;2
54-102-100-01;3
54-102-099-01;1
54-102-182-01;3
54-102-098-01;1
54-102-165-01;1
54-101-072-01;2
54-102-164-01;2
54-102-097-01;2
54-102-163-01;4
54-102-096-01;2
54-102-161-01;6
54-102-015-01;3
54-504-026-01;2
54-504-024-01;1
54-102-014-01;2
54-102-013-01;1
54-102-012-01;4
54-504-025-01;4
54-504-023-01;2
54-102-094-01;4
54-102-001-01;2
54-102-002-01;3
54-102-093-01;2
54-102-002-02;
54-102-004-01;2
54-102-064-01;2
54-102-062-01;3
54-102-061-01;5
54-102-060-01;2
54-102-046-01;2
54-102-045-01;1
54-102-044-01;4
54-102-043-01;1
54-103-017-01;3
54-102-005-01;4
54-102-006-01;2
54-103-017-02;
54-103-020-02;
54-103-020-01;2
54-102-042-01;2
54-102-041-01;2
54-102-040-01;4
54-504-013-02;
54-102-035-01;1
54-102-039-01;5
54-102-038-01;2
54-504-015-02;
54-102-036-01;4
54-504-016-02;
54-102-025-02;
54-102-095-01;5
54-102-092-01;1
54-102-034-01;2
54-102-033-01;5
54-102-032-01;2
54-102-027-02;
54-102-031-01;2
54-102-198-02;
54-102-091-01;2
54-102-007-01;2
54-102-055-01;4
54-102-019-01;2
54-102-018-01;3
54-102-017-01;3
54-102-056-01;2
54-102-054-01;5
54-102-053-01;2
54-102-052-01;3
54-102-090-01;1
54-102-050-01;1
54-102-049-01;2
54-102-048-01;1
54-102-047-01;2
54-102-066-01;2
54-102-065-01;3
54-102-077-01;2
54-102-076-01;1
54-102-075-01;2
54-102-074-01;3
54-102-073-01;4
54-102-071-01;3
54-102-070-01;3
54-102-069-01;2
54-102-067-01;2
54-102-063-01;2
54-602-029-01;5
54-602-028-01;6
54-602-027-01;5
54-602-025-02;
54-602-023-01;1
54-602-017-01;1
54-602-016-01;1
54-602-022-01;1
54-602-018-01;2
54-701-029-02;
54-701-028-02;
54-701-026-02;
54-501-034-01;2
54-501-035-01;6
54-501-036-01;2
54-102-084-01;3
54-102-085-01;2
54-102-086-01;4
54-102-087-01;3
54-102-087-02;
54-504-029-02;
54-001-032-01;2
54-504-023-02;
54-102-171-02;
54-001-081-01;3
54-001-082-01;4
54-001-083-01;3
54-001-062-01;1
54-102-194-02;
54-001-064-02;
54-001-065-01;3
54-001-066-01;4
54-001-067-01;1
54-102-008-01;4
54-001-068-01;5
54-001-070-02;
54-001-037-01;2
54-001-017-01;1
54-001-018-01;5
54-001-043-01;2
54-001-039-01;2
54-001-029-01;2
54-001-071-01;3
54-001-072-01;3
54-001-073-01;1
54-001-075-01;3
54-001-078-01;3
54-001-079-01;5
54-001-085-01;2
54-001-086-01;3
54-001-087-01;3
54-001-055-01;1
54-001-057-01;5
54-001-058-01;2
54-001-059-01;1
54-001-060-01;2
54-001-096-01;3
54-001-097-02;
54-001-079-02;
54-001-080-01;4
54-001-080-02;
54-001-105-01;5
54-102-046-02;
54-103-021-01;2
54-102-068-01;2
54-001-028-01;3
54-001-105-02;
54-001-105-03;
54-102-089-01;2
54-001-106-01;5
54-001-098-01;4
54-001-098-02;
54-001-100-01;4
54-001-101-01;1
54-001-102-01;2
54-001-102-02;
54-001-103-01;4
54-001-074-01;1
54-001-088-01;2
54-001-091-01;3
54-001-092-01;7
54-102-088-01;1
54-001-093-01;3
54-001-094-01;2
54-001-095-01;3
54-001-095-02;
54-001-104-01;2
54-001-036-01;3
54-001-035-01;4
54-001-034-01;1
54-001-033-01;2
54-001-054-01;1
54-001-053-01;1
54-001-052-01;2
54-001-051-01;4
54-001-049-01;1
54-001-047-01;2
54-001-046-01;3
54-001-045-01;5
54-001-044-01;2
54-102-170-02;
54-102-158-02;
54-102-155-02;
54-002-088-01;5
54-102-199-02;
54-002-089-01;3
54-102-008-02;
54-602-012-01;5
54-702-021-01;1
54-502-014-01;2
54-502-016-01;3
54-502-017-01;2
54-502-017-02;
54-502-018-01;4
54-002-090-01;4
54-002-101-01;2
54-503-005-01;1
54-503-007-01;3
54-503-008-01;1
54-503-009-01;3
54-503-010-02;
54-001-027-01;2
54-503-011-01;1
54-503-012-01;2
54-503-013-01;5
54-001-026-01;2
54-002-107-01;5
54-001-056-01;3
54-002-107-02;
54-102-093-02;
54-001-031-01;2
54-001-038-01;3
54-002-108-01;3
54-503-017-01;1
54-001-097-01;7
54-001-050-01;3
54-503-018-02;
54-102-066-02;
54-001-048-01;2
54-001-065-02;
54-001-082-02;
54-602-001-01;5
54-602-004-02;
54-001-020-01;2
54-503-020-01;2
54-001-084-01;3
54-002-102-01;4
54-002-105-01;1
54-102-051-02;
54-002-106-01;3
54-002-106-02;
54-102-017-02;
54-001-090-01;2
54-102-009-01;3
54-102-018-02;
54-102-009-02;
54-102-095-02;
54-001-025-01;3
54-102-065-02;
54-002-109-01;2
54-002-109-02;
54-002-110-01;2
54-002-081-01;2
54-002-082-01;2
54-002-083-01;3
54-002-085-01;1
54-102-010-01;2
54-002-086-01;4
54-504-028-02;
54-504-022-01;3
54-002-087-01;3
54-002-093-02;
54-504-030-01;2
54-504-034-01;2
54-504-034-02;
54-002-073-01;1
54-002-074-01;2
54-504-035-02;
54-504-033-02;
54-504-036-02;
54-002-039-01;2
54-002-040-01;2
54-002-041-01;2
54-002-044-01;2
54-002-045-01;2
54-002-045-02;
54-002-046-01;1
54-002-007-01;2
54-002-048-01;1
54-002-049-01;5
54-002-006-01;3
54-002-005-01;5
54-002-004-01;2
54-002-003-01;1
54-002-002-01;3
54-002-070-01;2
54-002-069-02;
54-002-069-01;4
54-002-068-01;3
54-002-067-01;2
54-002-066-01;7
54-002-065-01;4
54-002-063-02;
54-002-055-01;4
54-002-054-02;
54-002-054-01;3
54-002-076-01;3
54-002-059-01;2
54-002-060-01;2
54-002-060-02;
54-002-061-01;4
54-002-061-02;
54-002-062-01;1
54-002-035-01;4
54-002-036-01;1
54-002-038-01;4
54-002-072-01;4
54-002-075-01;2
54-001-006-03;
54-101-023-01;3
54-101-022-01;1
54-101-021-01;3
54-101-019-01;1
54-101-018-01;2
54-101-017-01;2
54-101-016-01;5
54-101-013-01;1
54-101-010-01;3
54-101-009-02;
54-101-009-01;2
54-101-008-01;3
54-101-007-01;1
54-101-006-02;
54-101-004-01;3
54-101-003-01;2
54-101-002-01;4
54-101-002-02;
54-101-039-01;4
54-101-038-01;3
54-101-037-01;1
54-101-035-01;3
54-101-034-01;3
54-101-033-01;3
54-001-024-01;1
54-102-020-01;4
54-102-044-02;
54-102-039-02;
54-102-036-02;
54-102-022-01;1
54-102-023-01;3
54-102-023-02;
54-102-024-01;2
54-102-025-01;2
54-001-005-01;3
54-001-004-01;3
54-001-003-01;4
54-001-002-01;2
54-001-001-01;2
54-502-004-01;1
54-502-009-01;2
54-502-011-01;3
54-002-071-01;4
54-101-027-01;3
54-101-028-01;3
54-001-012-01;1
54-101-029-01;5
54-101-029-02;
54-101-031-01;4
54-101-032-01;2
54-002-016-01;2
54-002-001-01;1
54-001-013-01;3
54-002-021-01;3
54-002-020-01;2
54-002-018-01;1
54-002-017-01;1
54-001-014-01;2
54-001-016-01;2
54-001-046-02;
54-001-048-02;
54-001-040-02;
54-001-025-02;
54-001-011-01;2
54-001-010-01;4
54-001-009-01;3
54-001-008-01;4
54-001-007-01;5
54-002-094-01;3
54-002-095-01;2
54-002-095-02;
54-002-096-01;2
54-002-097-01;2
54-002-098-01;1
54-002-099-01;1
54-002-100-01;1
54-002-077-02;
54-502-019-01;2
54-502-020-01;2
54-502-022-01;2
54-503-003-01;2
54-002-078-01;1
54-002-079-01;1
54-002-091-01;2
54-002-092-01;2
54-002-092-02;
54-002-093-01;3
54-002-012-01;1
54-001-023-01;2
54-002-014-01;2
54-002-013-01;4
54-002-034-01;4
54-002-008-01;2
54-002-009-01;2
54-001-015-01;1
54-002-010-01;2
54-002-011-01;1
54-001-021-01;1
54-001-089-01;2
54-001-006-02;
54-001-052-02;
54-602-007-01;2
54-602-002-02;
54-001-030-01;2
54-001-057-02;
54-602-005-02;
54-001-066-02;
54-602-006-02;
54-001-068-02;
54-001-090-02;
54-001-005-02;
54-102-337-01;3
54-101-024-01;2
54-102-338-01;3
54-101-025-01;3
54-102-338-02;
54-101-026-01;4
54-102-339-01;3
54-101-047-01;2
54-102-340-01;2
54-101-048-01;1
54-102-341-01;2
54-101-049-01;2
54-102-342-01;3
54-101-053-01;2
54-102-343-01;1
54-101-054-01;1
54-102-344-01;3
54-101-050-01;1
54-101-051-01;1
54-102-345-01;3
54-101-052-01;2
54-101-041-01;2
54-101-042-01;2
54-101-043-01;3
54-101-044-01;2
54-101-045-01;3
54-101-046-01;3
54-101-065-01;6
54-101-067-01;2
54-101-068-01;2
54-001-076-01;2
54-602-009-01;2
54-602-019-01;3
54-001-107-01;6
54-001-042-01;3
54-001-041-01;6
54-001-006-01;3
54-602-003-01;5
54-001-064-01;3
54-001-063-01;1
54-001-061-01;4
54-001-069-01;4
54-001-019-01;5
54-001-022-01;2
54-102-348-01;1
54-102-349-01;3
54-101-031-02;
54-101-052-02;
54-101-055-01;3
54-101-056-01;2
54-101-060-01;1
54-101-061-01;2
54-101-062-01;1
54-101-064-01;3
54-101-068-02;
54-101-069-01;2
54-101-070-01;2
54-101-071-01;3
54-101-074-01;3
54-101-075-01;2
54-101-078-01;2
54-101-079-01;2
54-101-080-01;3
54-101-080-02;
54-101-081-01;3
54-103-018-01;2
54-103-024-01;2
54-102-180-01;2
54-102-179-01;2
54-002-029-01;3
54-002-027-01;2
54-002-026-01;1
54-002-025-01;1
54-102-178-01;2
54-102-177-01;2
54-102-176-01;1
54-102-175-01;4
54-102-174-01;2
54-102-173-01;1
54-102-083-01;5
54-102-335-02;
54-001-036-02;
54-103-023-01;2
54-103-022-02;
54-103-022-01;3
54-103-030-01;3
54-103-029-01;2
54-103-028-01;1
54-103-026-01;4
54-103-025-01;1
54-102-358-02;
54-102-356-02;
54-102-205-02;
54-102-320-01;2
54-102-303-01;2
54-102-304-01;5
54-102-304-02;
54-102-305-01;2
54-102-306-01;4
54-102-306-02;
54-102-307-01;4
54-102-353-01;2
54-102-354-01;3
54-102-354-02;
54-102-355-01;5
54-102-356-01;2
54-102-318-02;
54-102-319-01;1
54-102-325-01;2
54-102-326-01;2
54-102-327-01;1
54-102-328-01;3
54-102-308-01;2
54-102-352-01;5
54-102-345-02;
54-102-211-01;1
54-102-212-01;2
54-102-212-02;
54-102-213-01;2
54-102-214-01;2
54-102-214-02;
54-102-215-01;2
54-102-216-01;2
54-102-220-01;3
54-102-336-01;2
54-102-223-01;3
54-102-224-01;2
54-102-224-02;
54-102-225-01;2
54-102-219-01;4
54-102-226-01;4
54-102-227-01;3
54-102-330-01;2
54-102-217-01;2
54-102-331-01;5
54-102-331-02;
54-102-332-01;2
54-002-033-01;2
54-102-333-01;2
54-102-334-01;3
54-102-221-01;1
54-102-222-01;3
54-102-222-02;
54-102-236-01;3
54-002-032-01;4
54-002-030-01;1
54-002-168-01;5
54-002-167-01;1
54-002-166-02;
54-002-193-01;4
54-002-190-01;4
54-002-189-01;1
54-002-188-01;1
54-002-186-01;4
54-501-022-01;2
54-002-185-02;
54-002-185-01;3
54-002-183-01;4
54-002-182-01;2
54-501-021-01;1
54-501-020-01;3
54-002-181-01;2
54-002-180-01;1
54-501-019-01;2
54-002-159-02;
54-002-159-01;3
54-002-158-01;2
54-002-179-01;2
54-501-018-01;2
54-002-178-01;3
54-002-177-01;2
54-002-176-01;3
54-002-174-01;1
54-501-016-01;1
54-002-173-01;2
54-002-171-01;3
54-501-013-01;4
54-002-170-01;4
54-002-169-01;2
54-002-150-01;4
54-002-149-01;3
54-002-148-02;
54-002-148-01;4
54-501-012-02;
54-002-147-01;2
54-501-011-01;2
54-002-146-01;3
54-501-095-01;5
54-002-145-01;1
54-002-144-02;
54-002-144-01;5
54-501-094-02;
54-501-094-01;2
54-501-092-02;
54-002-143-01;1
54-501-092-01;4
54-002-142-01;2
54-002-157-01;2
54-501-091-02;
54-501-023-01;3
54-501-028-01;2
54-501-027-01;1
54-501-026-04;
54-501-026-03;
54-501-064-01;3
54-501-081-01;2
54-501-082-01;1
54-501-083-01;1
54-501-084-01;3
54-102-082-01;2
54-601-001-01;6
54-501-085-01;6
54-501-088-01;2
54-601-001-02;
54-601-002-01;1
54-501-089-01;4
54-601-003-01;6
54-501-090-01;2
54-102-081-01;4
54-601-005-01;2
54-501-091-01;5
54-601-006-02;
54-501-024-01;1
54-601-007-01;3
54-501-025-01;2
54-501-025-02;
54-601-009-01;5
54-601-010-01;3
54-501-026-01;5
54-601-012-01;4
54-501-038-01;2
54-601-014-01;1
54-601-015-01;3
54-501-002-01;4
54-601-017-01;4
54-601-018-01;5
54-501-037-01;3
54-501-001-02;
54-601-019-02;
54-501-001-01;3
54-501-028-02;
54-601-020-02;
54-601-021-01;5
54-501-029-01;5
54-601-022-01;4
54-601-024-01;4
54-601-026-01;4
54-501-030-01;1
54-601-028-01;3
54-501-031-01;2
54-601-029-02;
54-501-032-01;1
54-601-030-01;7
54-501-033-01;1
54-601-030-03;
54-501-035-02;
54-601-032-01;3
54-501-026-02;
54-601-032-02;
54-601-031-01;4
54-601-034-01;4
54-601-035-01;2
54-601-036-01;2
54-601-038-01;3
54-601-039-01;5
54-601-040-01;4
54-601-044-01;4
54-601-045-01;1
54-601-046-01;3
54-601-047-01;4
54-601-048-01;2
54-601-048-02;
54-601-049-01;4
54-601-053-01;1
54-601-054-01;3
54-601-057-01;3
54-102-206-01;2
54-102-207-01;1
54-102-208-01;2
54-102-209-01;1
54-102-231-01;3
54-102-231-02;
54-102-232-01;1
54-102-233-01;1
54-102-234-01;3
54-102-234-02;
54-102-204-02;
54-102-351-02;
54-002-112-01;2
54-002-031-01;1
54-002-027-02;
54-002-110-02;
54-002-010-02;
54-002-113-01;4
54-002-113-02;
54-002-114-01;4
54-002-014-02;
54-002-115-01;2
54-002-004-02;
54-002-115-02;
54-002-006-02;
54-002-116-01;2
54-102-317-02;
54-002-117-01;1
54-102-312-02;
54-002-118-01;1
54-002-119-01;2
54-002-120-01;2
54-102-321-01;3
54-002-121-01;2
54-102-322-01;1
54-002-122-01;2
54-002-123-01;4
54-102-323-01;2
54-002-124-01;1
54-002-125-01;2
54-102-324-01;1
54-002-127-01;3
54-002-128-01;2
54-002-129-01;4
54-002-130-01;3
54-002-131-01;2
54-002-132-01;3
54-002-133-01;1
54-002-134-01;2
54-002-134-02;
54-002-135-01;3
54-002-136-01;2
54-002-137-01;1
54-002-138-01;4
54-102-235-01;1
54-102-228-01;3
54-102-229-01;2
54-102-230-01;5
54-102-218-01;2
54-102-350-01;1
54-102-210-01;2
54-102-357-01;3
54-102-358-01;2
54-102-205-01;3
54-102-335-01;2
54-102-359-01;3
54-102-361-01;2
54-102-362-01;1
54-102-204-01;2
54-102-201-01;3
54-102-080-01;4
54-102-079-01;3
54-102-078-01;4
54-103-039-01;1
54-103-038-01;3
54-002-024-01;1
54-002-138-02;
54-002-139-01;3
54-002-140-01;1
54-002-141-01;2
54-002-141-02;
54-002-151-01;1
54-002-153-01;1
54-002-154-01;3
54-002-154-02;
54-002-155-01;2
54-002-156-01;3
54-101-098-01;1
54-103-031-01;2
54-103-032-01;1
54-103-035-01;3
54-002-023-01;1
54-102-347-01;1
54-101-083-01;4
54-101-084-01;1
54-101-085-01;1
54-101-086-01;3
54-101-087-01;2
54-101-088-01;1
54-101-090-02;
54-101-092-01;2
54-101-093-01;3
54-101-094-01;3
54-102-180-02;
54-102-174-02;
54-102-110-01;2
54-102-125-01;3
54-102-127-01;2
54-102-128-01;3
54-102-129-01;3
54-102-130-01;3
54-102-131-01;1
54-102-132-01;5
54-102-133-01;3
54-002-022-01;4
54-102-346-01;3
54-102-242-01;2
54-102-101-01;5
54-102-102-01;2
54-102-103-01;3
54-102-104-01;1
54-102-105-01;1
54-102-106-01;1
54-102-117-01;1
54-102-118-01;3
54-102-119-01;2
54-102-120-01;6
54-103-036-01;1
54-103-037-01;2
54-103-040-01;5
54-103-043-01;2
54-102-302-01;2
54-103-050-01;1
54-103-049-01;2
54-103-048-02;
54-102-301-01;2
54-103-047-01;3
54-103-046-02;
54-103-045-01;4
54-102-135-02;
54-102-146-02;
54-102-147-02;
54-102-120-02;
54-102-121-02;
54-102-122-02;
54-102-124-02;
54-102-124-03;
54-102-128-02;
54-102-110-02;
54-102-238-02;
54-102-239-02;
54-102-254-01;4
54-102-253-01;2
54-102-252-01;2
54-102-260-01;2
54-102-250-01;2
54-102-249-01;2
54-102-248-01;4
54-102-247-01;1
54-102-246-01;2
54-102-245-01;2
54-102-244-02;
54-102-244-01;2
54-102-290-01;4
54-102-289-01;1
54-102-268-01;1
54-102-267-01;1
54-102-266-01;1
54-102-265-01;2
54-102-264-01;2
54-102-263-01;5
54-102-262-03;
54-102-262-02;
54-102-262-01;5
54-102-261-01;2
54-102-316-01;2
54-103-103-01;3
54-103-104-01;2
54-103-105-01;4
54-103-105-02;
54-103-106-01;2
54-102-019-02;
54-102-094-02;
54-102-294-01;4
54-102-294-02;
54-102-295-01;3
54-102-296-01;2
54-102-280-02;
54-102-280-01;3
54-102-279-01;2
54-102-278-01;1
54-102-277-01;1
54-102-107-01;2
54-102-108-01;1
54-102-109-01;2
54-102-298-01;2
54-102-298-02;
54-102-299-01;5
54-102-300-01;5
54-102-281-01;4
54-102-282-01;1
54-102-291-01;3
54-102-292-01;1
54-102-293-01;1
54-103-063-01;2
54-103-064-01;2
54-103-065-01;2
54-103-065-02;
54-103-066-01;2
54-103-067-01;2
54-103-069-01;3
54-103-070-01;2
54-102-317-01;3
54-103-071-01;1
54-103-073-01;3
54-103-073-02;
54-103-074-01;1
54-103-076-01;1
54-103-077-01;1
54-103-079-01;2
54-103-080-01;3
54-103-081-01;3
54-103-082-01;2
54-103-083-01;1
54-103-084-01;4
54-102-315-01;4
54-103-085-01;4
54-103-085-02;
54-103-087-01;2
54-102-314-01;4
54-103-061-01;3
54-103-060-01;2
54-103-059-01;1
54-103-093-01;2
54-103-094-01;3
54-103-094-02;
54-103-095-01;3
54-103-096-01;4
54-103-096-02;
54-103-097-01;1
54-103-098-01;1
54-103-099-01;1
54-103-101-01;1
54-103-102-01;2
54-103-102-02;
54-102-300-02;
54-102-300-03;
54-102-269-01;1
54-103-088-01;1
54-103-089-01;2
54-103-090-01;2
54-103-091-01;1
54-103-108-01;2
54-103-109-01;2
54-103-110-01;2
54-103-112-01;2
54-103-113-01;1
54-103-114-01;1
54-103-121-01;2
54-103-120-01;1
54-103-119-02;
54-103-116-01;2
54-103-117-01;3
54-103-118-01;2
54-103-118-02;
54-102-313-01;4
54-102-270-01;2
54-102-271-01;3
54-102-272-01;2
54-102-273-01;1
54-102-274-01;5
54-102-287-01;5
54-102-286-01;2
54-102-285-01;2
54-102-284-01;3
54-102-283-02;
54-102-283-01;2
54-102-275-01;1
54-102-276-01;4
54-102-259-01;3
54-102-259-02;
54-101-024-02;
54-101-005-02;
54-101-008-02;
54-101-079-02;
54-101-094-02;
54-101-081-02;
54-101-012-02;
54-101-089-02;
54-101-063-02;
54-101-071-02;
54-701-002-02;
54-602-062-02;
54-602-059-02;
54-602-047-02;
54-602-056-02;
54-101-058-01;2
54-101-095-01;1
54-101-096-01;2
54-101-096-02;
54-101-097-01;4
54-101-097-02;
54-101-099-01;4
54-101-100-01;1
54-101-101-01;1
54-101-102-01;4
54-101-103-01;1
54-002-050-01;2
54-102-312-01;2
54-102-311-01;1
54-002-052-01;1
54-002-053-01;2
54-002-055-02;
54-102-310-01;3
54-702-002-02;
54-702-011-02;
54-702-015-01;3
54-702-006-01;2
54-501-004-02;
54-501-017-01;3
54-501-048-02;
54-501-046-01;2
54-501-096-01;3
54-501-019-02;
54-501-010-01;2
54-501-014-01;2
54-102-309-01;2
54-501-007-02;
54-501-015-01;
54-501-008-01;4
54-501-012-01;2
